Title,Job Zone,Description,Domain,O*NET-SOC Code,spanish_title,spanish_description,spanish_domain
First-Line Supervisors of Retail Sales Workers,2,"Directly supervise and coordinate activities of retail sales workers in an establishment or department. Duties may include management functions, such as purchasing, budgeting, accounting, and personnel work, in addition to supervisory duties.",Sales and Related Occupations,41-1011.00,Supervisores de primera línea de trabajadores de ventas minoristas,"Supervisar y coordinar directamente las actividades de los trabajadores de ventas minoristas en un establecimiento o departamento. Los deberes pueden incluir funciones de gestión, como compras, presupuestos, contabilidad y trabajo de personal, además de los deberes de supervisión.",Ventas y ocupaciones relacionadas
First-Line Supervisors of Non-Retail Sales Workers,4,"Directly supervise and coordinate activities of sales workers other than retail sales workers. May perform duties such as budgeting, accounting, and personnel work, in addition to supervisory duties.",Sales and Related Occupations,41-1012.00,Supervisores de primera línea de trabajadores de ventas que no son de referencia,"Supervisar y coordinar directamente las actividades de los trabajadores de ventas que no sean trabajadores de ventas minoristas. Puede realizar tareas como el presupuesto, la contabilidad y el trabajo de personal, además de las tareas de supervisión.",Ventas y ocupaciones relacionadas
Cashiers,2,"Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks.",Sales and Related Occupations,41-2011.00,Cajeros,"Recibir y desembolsar dinero en establecimientos distintos de las instituciones financieras. Puede usar escáneres electrónicos, cajas registradoras o equipos relacionados. Puede procesar transacciones de crédito o tarjeta de débito y validar los cheques.",Ventas y ocupaciones relacionadas
Gambling Change Persons and Booth Cashiers,2,"Exchange coins, tokens, and chips for patrons' money. May issue payoffs and obtain customer's signature on receipt. May operate a booth in the slot machine area and furnish change persons with money bank at the start of the shift, or count and audit money in drawers.",Sales and Related Occupations,41-2012.00,Cambio de juegos de azar a personas y cajeros de stands,"Intercambie monedas, fichas y chips por el dinero de los clientes. Puede emitir pagos y obtener la firma del cliente en el recibo. Puede operar una cabina en el área de la máquina tragamonedas y proporcionar a las personas de cambio con el banco de dinero al comienzo del turno, o contar y auditar dinero en los cajones.",Ventas y ocupaciones relacionadas
Counter and Rental Clerks,2,"Receive orders, generally in person, for repairs, rentals, and services. May describe available options, compute cost, and accept payment.",Sales and Related Occupations,41-2021.00,Empleados de contra y alquiler,"Reciba pedidos, generalmente en persona, para reparaciones, alquileres y servicios. Puede describir las opciones disponibles, calcular el costo y aceptar el pago.",Ventas y ocupaciones relacionadas
Parts Salespersons,2,Sell spare and replacement parts and equipment in repair shop or parts store.,Sales and Related Occupations,41-2022.00,Vendedores de piezas,Vender piezas y equipos de repuesto y repuesto en el taller de reparaciones o la tienda de piezas.,Ventas y ocupaciones relacionadas
Retail Salespersons,2,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers.",Sales and Related Occupations,41-2031.00,Vendedores minoristas,"Vender mercancías, como muebles, vehículos de motor, electrodomésticos o ropa a los consumidores.",Ventas y ocupaciones relacionadas
Advertising Sales Agents,4,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.",Sales and Related Occupations,41-3011.00,Agentes de ventas publicitarias,"Vender o solicitar espacio publicitario, tiempo o medios de comunicación en publicaciones, señalización, televisión, radio o establecimientos de Internet o espacios públicos.",Ventas y ocupaciones relacionadas
Insurance Sales Agents,4,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.",Sales and Related Occupations,41-3021.00,Agentes de ventas de seguros,"Vender vida, propiedad, víctimas, salud, automotriz u otros tipos de seguros. Puede remitir a los clientes a corredores independientes, trabajar como corredor independiente o ser empleado por una compañía de seguros.",Ventas y ocupaciones relacionadas
"Securities, Commodities, and Financial Services Sales Agents",4,"Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",Sales and Related Occupations,41-3031.00,"Agentes de ventas de valores, productos básicos y servicios financieros","Compre y venda valores o productos básicos en empresas de inversión y comercio, o brinde servicios financieros a empresas e individuos. Puede asesorar a los clientes sobre acciones, bonos, fondos mutuos, productos básicos y condiciones del mercado.",Ventas y ocupaciones relacionadas
Travel Agents,3,"Plan and sell transportation and accommodations for customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required. May also describe, plan, and arrange itineraries and sell tour packages. May assist in resolving clients' travel problems.",Sales and Related Occupations,41-3041.00,Agentes de viajes,"Planifique y venda transporte y alojamiento para los clientes. Determine el destino, los modos de transporte, las fechas de viaje, los costos y los alojamientos requeridos. También puede describir, planificar y organizar itinerarios y vender paquetes turísticos. Puede ayudar a resolver los problemas de viaje de los clientes.",Ventas y ocupaciones relacionadas
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,Sell services to individuals or businesses. May describe options or resolve client problems.,Sales and Related Occupations,41-3091.00,"Representantes de ventas de servicios, excepto publicidad, seguro, servicios financieros y viajes",Vender servicios a individuos o empresas. Puede describir opciones o resolver los problemas del cliente.,Ventas y ocupaciones relacionadas
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,"Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.",Sales and Related Occupations,41-4011.00,"Representantes de ventas, productos mayoristas y de fabricación, técnicos y científicos","Vender productos para mayoristas o fabricantes donde se requiere conocimiento técnico o científico en áreas como biología, ingeniería, química y electrónica, normalmente obtenidas de al menos 2 años de educación postsecundaria.",Ventas y ocupaciones relacionadas
Solar Sales Representatives and Assessors,3,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.",Sales and Related Occupations,41-4011.07,Representantes de ventas solares y evaluadores,"Póngase en contacto con los clientes nuevos o existentes para determinar sus necesidades de equipos solares, sugerir sistemas o equipos o estimar los costos.",Ventas y ocupaciones relacionadas
