Title,dutch_title,Job Zone,Description,dutch_description,Domain,dutch_domain,O*NET-SOC Code
Regulatory Affairs Specialists,Regelgevende zaken specialisten,4,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.","Coördineer en documenteer interne regelgevingsprocessen, zoals interne audits, inspecties, licentieverlengingen of registraties. Kan materialen samenstellen en voorbereiden voor indiening aan regelgevende instanties.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1041.07
Customs Brokers,Douane-expediteurs,3,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.,Maak douanedocumentatie en zorg ervoor dat zendingen voldoen aan alle toepasselijke wetten om de import en export van goederen te vergemakkelijken. Bepaal en volg de betaalbare taken en belastingen en procesbetalingen namens de klant. Onderteken documenten onder een volmacht. Vertegenwoordig klanten in vergaderingen met douaneambtenaren en vragen de restituties en tariefherclassificaties aan. Coördineren transport en opslag van geïmporteerde goederen.,Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1041.08
Cost Estimators,Kostenramers,4,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.","Bereid kostenramingen voor op productproductie, bouwprojecten of diensten om het management te helpen bij het bieden van of het bepalen van de prijs van product of service. Kan gespecialiseerd zijn volgens bepaalde uitgevoerde service of het type product gefabriceerd.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1051.00
Human Resources Specialists,Human resources specialisten,4,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.","Werven, screenen, interviewen of plaatsen in een organisatie. Kan andere activiteiten uitvoeren in meerdere human resources -gebieden.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1071.00
Farm Labor Contractors,Labourarbeidersaannemers,2,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.","Rekruut en huren seizoensgebonden of tijdelijke landarbeiders. Kan maaltijden voor werknemers vervoeren, huisvesten en bieden.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1074.00
Labor Relations Specialists,Specialisten op het gebied van arbeidsrelaties,4,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.","Los geschillen op tussen werknemers en managers, onderhandel over collectieve arbeidsovereenkomsten of coördineer klachtenprocedures om klachten van werknemers af te handelen.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1075.00
Logisticians,Logistici,4,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.","Analyseer en coördineer de lopende logistieke functies van een bedrijf of organisatie. Verantwoordelijk voor de hele levenscyclus van een product, inclusief acquisitie, distributie, interne toewijzing, levering en definitieve verwijdering van middelen.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1081.00
Logistics Engineers,Logistieke ingenieurs,4,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.","Ontwerp of analyseer operationele oplossingen voor projecten zoals transportoptimalisatie, netwerkmodellering, proces- en methodenanalyse, kostenbeheersing, capaciteitsverbetering, routing en verzendingoptimalisatie of informatiebeheer.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1081.01
Logistics Analysts,Logistieke analisten,4,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.","Analyseer productlevering of supply chain -processen om wijzigingen te identificeren of aan te bevelen. Kan route -activiteiten beheren, waaronder facturering, elektronische rekeningen en verzending tracering.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1081.02
Project Management Specialists,Projectmanagementspecialisten,4,"Analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis. Lead and guide the work of technical staff. May serve as a point of contact for the client or customer.","Analyseer en coördineer het schema, tijdlijn, inkoop, personeel en budget van een product of service per projectbasis. Leid en leid het werk van technisch personeel. Kan dienen als een aanspreekpunt voor de klant of klant.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1082.00
Management Analysts,Managementanalisten,4,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.","Voer organisatiestudies en evaluaties uit, ontwerpsystemen en procedures, voer werkvereenvoudiging en meetstudies uit en bereidt activiteiten- en procedureshandleidingen voor om het management te ondersteunen bij het efficiënter en effectiever werken. Bevat programma -analisten en managementconsultants.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1111.00
"Meeting, Convention, and Event Planners","Vergadering, conventie en evenementenplanners",4,"Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.","Coördineer activiteiten van personeel, conventiepersoneel of klanten om regelingen te treffen voor groepsvergaderingen, evenementen of conventies.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1121.00
