Title,Job Zone,Description,Domain,O*NET-SOC Code,german_title,german_description,german_domain
Compliance Officers,3,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",Business and Financial Operations Occupations,13-1041.00,Compliance Officers,"Untersuchen, bewerten und untersuchen Sie die Berechtigung für Gesetze und Vorschriften für die Vertragseinhaltung von Lizenzen und Genehmigungen und führen Sie die Aktivitäten zur Einhaltung und Durchsetzung von Durchsetzungs- und Analyseaktivitäten durch.",Geschäfts- und Finanzbetriebsberufe
Environmental Compliance Inspectors,4,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",Business and Financial Operations Occupations,13-1041.01,Umweltkonformitätsinspektoren,"Überprüfen und untersuchen Sie Verschmutzungsquellen, um die Öffentlichkeit und Umwelt zu schützen und die Einhaltung der Vorschriften und Verordnungen des Bundes, des Bundesstaates und der lokalen Vorschriften zu gewährleisten.",Geschäfts- und Finanzbetriebsberufe
Equal Opportunity Representatives and Officers,4,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",Business and Financial Operations Occupations,13-1041.03,Vertreter und Offiziere für Chancengleichheit,"Überwachen und bewerten Sie die Einhaltung der gleichen Opportunitätsgesetze, -richtlinien und -Richtlinien, um sicherzustellen, dass Beschäftigungspraktiken und Vertragsvereinbarungen ohne Rücksicht auf Rasse, Religion, Farbe, nationale Herkunft, Geschlecht, Alter oder Behinderung gleichen Chancen bieten.",Geschäfts- und Finanzbetriebsberufe
Government Property Inspectors and Investigators,3,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,Business and Financial Operations Occupations,13-1041.04,Regierungsbesitzinspektoren und Ermittler,"Untersuchung oder Untersuchung staatlicher Eigentum, um die Einhaltung von Vertragsvereinbarungen und staatlichen Vorschriften sicherzustellen.",Geschäfts- und Finanzbetriebsberufe
Coroners,3,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",Business and Financial Operations Occupations,13-1041.06,Gerichtsmediziner,"Direkte Aktivitäten wie Autopsien, pathologische und toxikologische Analysen sowie Untersuchungen zur Untersuchung von Todesfällen in einer rechtlichen Zuständigkeit zur Bestimmung der Todesursache oder zur Festlegung der Verantwortung für zufällige, gewalttätige oder unerklärliche Todesfälle.",Geschäfts- und Finanzbetriebsberufe
Regulatory Affairs Specialists,4,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",Business and Financial Operations Occupations,13-1041.07,Spezialisten für regulatorische Angelegenheiten,"Koordinate und dokumentieren interne Regulierungsprozesse wie interne Audits, Inspektionen, Lizenzverlängerungen oder Registrierungen. Kann Materialien für die Einreichung bei Regulierungsbehörden zusammenstellen und vorbereiten.",Geschäfts- und Finanzbetriebsberufe
Customs Brokers,3,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.,Business and Financial Operations Occupations,13-1041.08,Zollmakler,"Bereiten Sie die Zolldokumentation vor und stellen Sie sicher, dass Sendungen alle geltenden Gesetze erfüllen, um den Import und den Export von Waren zu erleichtern. Bestimmen und verfolgen Sie die Zahlen und Steuern und verarbeiten Sie Zahlungen im Namen des Kunden. Unterschreiben Sie Dokumente unter der Macht des Anwalts. Vertretung von Kunden in Besprechungen mit Zollbeamten und beantragen Sie leitende Rückerstattungen und Tarif -Umklassifizierungen. Koordinieren Sie den Transport und die Lagerung von importierten Waren.",Geschäfts- und Finanzbetriebsberufe
Cost Estimators,4,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",Business and Financial Operations Occupations,13-1051.00,Kostenschätzer,"Erstellen Sie Kostenschätzungen für Produktherstellung, Bauprojekte oder Dienstleistungen, um das Management bei der Bieten oder Bestimmung des Produkts oder der Dienstleistung zu unterstützen. Kann sich nach bestimmten Dienstleistungen oder Art des hergestellten Produkts spezialisieren.",Geschäfts- und Finanzbetriebsberufe
Human Resources Specialists,4,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",Business and Financial Operations Occupations,13-1071.00,Personalspezialisten,"Rekrutieren, Bildschirm, Interview oder Personen in einer Organisation. Kann andere Aktivitäten in mehreren Personalbereichen ausführen.",Geschäfts- und Finanzbetriebsberufe
Farm Labor Contractors,2,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",Business and Financial Operations Occupations,13-1074.00,Farm Labour Contractors,"Rekrutieren und mieten saisonale oder vorübergehende Landwirte. Kann transportieren, hausgemacht und Mahlzeiten für Arbeiter anbieten.",Geschäfts- und Finanzbetriebsberufe
Labor Relations Specialists,4,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.",Business and Financial Operations Occupations,13-1075.00,Arbeitsbeziehungsspezialisten,"Bei Streitigkeiten zwischen Arbeitnehmern und Managern beibehalten, Tarifverträge aushandeln oder Beschwerdeverfahren koordinieren, um Beschwerden der Mitarbeiter zu bearbeiten.",Geschäfts- und Finanzbetriebsberufe
Logisticians,4,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.",Business and Financial Operations Occupations,13-1081.00,Logistiker,"Analysieren und koordinieren Sie die fortlaufenden logistischen Funktionen eines Unternehmens oder einer Organisation. Verantwortlich für den gesamten Lebenszyklus eines Produkts, einschließlich Akquisition, Vertrieb, interner Zuordnung, Lieferung und endgültige Entsorgung von Ressourcen.",Geschäfts- und Finanzbetriebsberufe
Logistics Engineers,4,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",Business and Financial Operations Occupations,13-1081.01,Logistikingenieure,"Entwurf oder Analyse von Betriebslösungen für Projekte wie Transportoptimierung, Netzwerkmodellierung, Prozess- und Methodenanalyse, Kosteneindämmung, Kapazitätsverbesserung, Routing- und Versandoptimierung oder Informationsmanagement.",Geschäfts- und Finanzbetriebsberufe
Logistics Analysts,4,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",Business and Financial Operations Occupations,13-1081.02,Logistikanalysten,"Analysieren Sie die Produktlieferungs- oder Lieferkettenprozesse, um Änderungen zu identifizieren oder zu empfehlen. Kann Routenaktivitäten wie Rechnungsstellung, elektronische Rechnungen und Versandverfolgung verwalten.",Geschäfts- und Finanzbetriebsberufe
Project Management Specialists,4,"Analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis. Lead and guide the work of technical staff. May serve as a point of contact for the client or customer.",Business and Financial Operations Occupations,13-1082.00,Projektmanagement -Spezialisten,"Analysieren und koordinieren Sie den Zeitplan, die Zeitleiste, die Beschaffung, das Personal und das Budget eines Produkts oder einer Dienstleistung pro Projektbasis. Leiten und leiten Sie die Arbeit des technischen Personals. Kann als Kontaktpunkt für den Kunden oder Kunden dienen.",Geschäfts- und Finanzbetriebsberufe
Management Analysts,4,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Business and Financial Operations Occupations,13-1111.00,Managementanalysten,"Führen Sie Organisationsstudien und Bewertungen, Entwurfssysteme und -verfahren durch, führen Sie Arbeitsvereinbarungs- und Messstudien durch und erstellen Sie Operations- und Verfahrenshandbücher, um das Management beim Betrieb effizienter und effektiver zu unterstützen. Beinhaltet Programmanalysten und Geschäftsberater.",Geschäfts- und Finanzbetriebsberufe
